URL,Title,Neighborhood,Price,Built Area,Land Area,Bedrooms,Bathrooms,Garage,Stratum,Year Built,Administration Fee,Property Type,Business Type,Status,Extraction Date,Error,Property_Category,Project_Units,Is_Project,Price_Label,Has_Individual_Units,Project_Parent,Project_Name,Is_Project_Unit
https://www.properati.com.co/proyecto/14032-32-1051-b5f3c09c7f2b-e80f487a-8eb0-4d69,Morph Lalinde,"El Poblado, Medellín, Antioquia",$ 1.612.971.500,85-259 m2 área construida,85-259 m2 área total,1-3 habitaciones,2-4 baños,N/A,N/A,N/A,N/A,Proyecto,Arriendo,N/A,2025-11-21 21:59,,,3 unidades,Sí,Desde,Sí,,,
https://www.properati.com.co/detalle/14032-32-44db-2de62ccae1ef-7384a0b1-a9ff-4ac7,Apartamento en venta en El Poblado,"El Poblado, Medellín, Antioquia",$ 1.612.971.500,85 m²,N/A,1,2,2027,6,Plazo,N/A,Apartamento,Venta,N/A,2025-11-21 21:59,,Construcción,,,,,https://www.properati.com.co/proyecto/14032-32-1051-b5f3c09c7f2b-e80f487a-8eb0-4d69,Morph Lalinde,Sí
https://www.properati.com.co/detalle/14032-32-dd5e-2c3b33bb12dd-63e4298b-9a67-4391,Apartamento en venta en El Poblado,"El Poblado, Medellín, Antioquia",$ 4.049.835.510,259 m²,N/A,3,4,2027,6,Plazo,N/A,Apartamento,Venta,N/A,2025-11-21 21:59,,Construcción,,,,,https://www.properati.com.co/proyecto/14032-32-1051-b5f3c09c7f2b-e80f487a-8eb0-4d69,Morph Lalinde,Sí
https://www.properati.com.co/detalle/14032-32-3d44-c97a1ba6d30e-4f40722e-8804-44bc,Apartamento en venta en El Poblado,"El Poblado, Medellín, Antioquia",$ 2.517.426.450,139 m²,N/A,2,3,2027,6,Plazo,N/A,Apartamento,Venta,N/A,2025-11-21 21:59,,Construcción,,,,,https://www.properati.com.co/proyecto/14032-32-1051-b5f3c09c7f2b-e80f487a-8eb0-4d69,Morph Lalinde,Sí
https://www.properati.com.co/detalle/14032-32-ceb-a3d67e88ba59-19a266f-9c92-7594,Casa en venta en Tabio,"Tabio, Cundinamarca",$ 1.200.000.000,112 m²,46.640 m²,2,2,N/A,3,2021,N/A,Casa,Venta,N/A,2025-11-21 21:59,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-8cf6-9854cc9bea74-19a2670-c00a-77e6,Finca en venta en Chía,"Chía, Cundinamarca",$ 3.500.000.000,460 m²,10.200 m²,N/A,N/A,N/A,3,2021,N/A,Finca,Venta,N/A,2025-11-21 21:59,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-6fa0-e538991adeb9-19a2675-b350-7977,Casa en venta en Chía,"Chía, Cundinamarca",$ 2.350.000.000,406 m²,2.000 m²,4,5,266,6,2021,N/A,Casa,Venta,N/A,2025-11-21 22:00,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-2ce8-56b9cabebc9-19a2672-8f28-7260,Casa en venta en Tabio,"Tabio, Cundinamarca",$ 1.595.000.000,300 m²,4.216 m²,3,4,7,3,2021,N/A,Casa,Venta,N/A,2025-11-21 22:00,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-d323-b91047997891-19a5224-8251-7085,Casa en venta en Tabio,"Tabio, Cundinamarca",$ 2.200.000.000,597 m²,9.147 m²,3,3,N/A,N/A,1998,N/A,Casa,Venta,N/A,2025-11-21 22:00,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-d849-c134383c7cbd-19a266e-aa3a-714b,Casa en venta en Tabio,"Tabio, Cundinamarca",$ 1.800.000.000,300 m²,2.365 m²,4,5,2,5,2021,N/A,Casa,Venta,N/A,2025-11-21 22:00,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-afe-ba4a6d4c84c1-19a5c33-969e-714a,Apartamento en venta en Pereira,"Pereira, Risaralda",$ 330.000.000,N/A,N/A,2,2,N/A,N/A,Plazo,N/A,Apartamento,Venta,N/A,2025-11-21 22:00,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-4d55-cf46cfcba182-19a2c2a-ae1e-75ad,Finca en venta en Santa Rosa de Cabal,"Santa Rosa de Cabal, Risaralda",$ 1.200.000.000,300 m²,N/A,N/A,N/A,40,3,Plazo,N/A,Finca,Venta,N/A,2025-11-21 22:01,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-89a1-d3709b774582-19a2673-9cf7-70e1,Finca en venta en Subachoque,"Subachoque, Cundinamarca",$ 2.250.000.000,520 m²,18.000 m²,N/A,N/A,3,4,2021,N/A,Finca,Venta,N/A,2025-11-21 22:01,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-332-b66a704caeb2-191098a-8a88-78a9,Lote en venta en Bojacá,"Bojacá, Cundinamarca",$ 201.600.000,N/A,30.000 m²,N/A,N/A,N/A,N/A,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:01,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-6f57-196e42140aeb-196a689-9376-7355,Lote en venta en Tuluá,"Tuluá, Valle del Cauca",$ 350.000.000,N/A,500 m²,N/A,N/A,N/A,5,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:01,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-4028-a11935cf9935-19a5c5a-824e-7242,Casa en venta en Cuatro Esquinas,"Cuatro Esquinas, La Ceja, Antioquia",$ 2.300.000.000,334 m²,816 m²,5,4,N/A,5,2021,$ 896.000,Casa,Venta,N/A,2025-11-21 22:01,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-29d6-76b57df56ae2-194e145-bb02-757a,Lote en venta en Norte-Centro Histórico,"Norte-Centro Histórico, Barranquilla, Atlántico",$ 1.800.000.000,N/A,1.095 m²,N/A,N/A,1095,3,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:02,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-908c-4c13e79e4124-3f8da64e-a379-4f9b,Lote en venta en Soledad,"Soledad, Atlántico",$ 2.146.900.000,N/A,18.997 m²,N/A,N/A,N/A,3,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:02,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-b918-6404675fed9-19a806a-9ce3-70d7,Casa en venta en Retiro,"Retiro, Antioquia",$ 1.980.000.000,316 m²,500 m²,5,4,316,4,2019,$ 1.152.998,Casa,Venta,N/A,2025-11-21 22:02,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-ed95-49082cb2353b-194e131-bb02-757a,Lote en venta en Soledad,"Soledad, Atlántico",$ 2.146.900.000,N/A,18.997 m²,N/A,N/A,N/A,N/A,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:02,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-4039-f7173d3ddfcc-197e82f-a980-74d9,Lote industrial en venta en Tocancipá,"Tocancipá, Cundinamarca",$ 3.050.000.000,989 m²,1.227 m²,N/A,N/A,1,N/A,Plazo,N/A,Lote industrial,Venta,N/A,2025-11-21 22:02,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-d66f-5ecca0c8337e-194e107-b273-7acb,Local comercial en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",$ 740.000.000,258 m²,N/A,N/A,N/A,N/A,N/A,Plazo,N/A,Local comercial,Venta,N/A,2025-11-21 22:03,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-d652-b3ebe6eef2b6-aa8ae20f-991c-4863,Lote en venta en Malambo,"Malambo, Atlántico",$ 18.000.000.000,N/A,200.000 m²,N/A,N/A,N/A,N/A,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:03,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-4e07-311fa39d2843-194e115-bb02-757a,Finca en venta en Yopal,"Yopal, Casanare",$ 420.000.000,296 m²,N/A,N/A,N/A,N/A,N/A,Plazo,N/A,Finca,Venta,N/A,2025-11-21 22:03,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-5e74-7cac1e10707e-aa58c73c-be25-444f,Oficina en venta en Niza,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",$ 13.047.900.000,2.606 m²,N/A,N/A,701,701,N/A,Plazo,N/A,Oficina,Venta,N/A,2025-11-21 22:03,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-b8af-d350deb60cfe-19109bc-8a88-78a9,Lote en venta en Bojacá,"Bojacá, Cundinamarca",$ 201.600.000,N/A,30.000 m²,N/A,N/A,N/A,N/A,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:03,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-66d7-5d0bf0656251-19a89c3-9d3d-7531,Apartamento en venta en Los Alamos,"Los Alamos, Pereira, Risaralda",$ 1.300.000.000,240 m²,N/A,2,4,N/A,6,Plazo,N/A,Apartamento,Venta,N/A,2025-11-21 22:03,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-2320-5c794ad4dede-192965b-895e-79b6,Lote en venta en Atlántico,Atlántico,$ 4.793.855.000,N/A,N/A,N/A,N/A,N/A,N/A,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:04,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-f2db-c8d6082a3da8-19109b5-8a88-78a9,Lote en venta en Bojacá,"Bojacá, Cundinamarca",$ 201.710.400,N/A,30.000 m²,N/A,N/A,N/A,N/A,Plazo,N/A,Lote,Venta,N/A,2025-11-21 22:04,,Lote/Terreno,,,,,,,
https://www.properati.com.co/detalle/14032-32-1671-3d3dadcd4b59-19a5c5a-8024-71e2,Casa en venta en La Ceja,"La Ceja, Antioquia",$ 3.200.000.000,374 m²,8.124 m²,4,5,8,5,2019,$ 1.000.000,Casa,Venta,N/A,2025-11-21 22:04,,Construcción,,,,,,,
https://www.properati.com.co/detalle/14032-32-967e-41ca5e3ddddb-19aa6d5-8183-766e,Apartamento en venta en Itagui,"Itagui, Antioquia",$ 660.000.000,90 m²,N/A,3,2,90,3,2024,$ 185.000,Apartamento,Venta,N/A,2025-11-21 22:04,,Construcción,,,,,,,
